ESIID,USAGE_DATE,REVISION_DATE,START_READING,END_READING,USAGE_KWH,Gexa_Estimates
'10443720008051291,4/3/21,4/4/21 11:25,4882.243,4884.915,2.672,
'10443720008051291,4/4/21,4/5/21 7:38,4884.915,4887.807,2.893,
'10443720008051291,4/5/21,4/6/21 7:40,4887.807,4890.699,2.892,
'10443720008051291,4/6/21,4/7/21 7:39,4890.699,4892.699,2.368,
'10443720008051291,4/7/21,4/8/21 7:44,4892.699,4896.158,3.09,
'10443720008051291,4/8/21,4/9/21 7:45,4896.158,4899.238,3.08,
'10443720008051291,4/9/21,4/10/21 7:39,4899.238,4901.791,2.551,
'10443720008051291,4/10/21,4/11/21 9:21,4901.791,4904.88,3.09,
'10443720008051291,4/11/21,4/12/21 7:39,4904.88,4907.316,2.441,
'10443720008051291,4/12/21,4/13/21 7:43,4907.316,4910.251,2.937,
'10443720008051291,4/13/21,4/14/21 7:45,4910.251,4912.887,2.636,
'10443720008051291,4/14/21,4/15/21 8:34,4912.887,4915.999,3.116,
'10443720008051291,4/15/21,4/16/21 8:02,4915.999,4918.836,2.839,
'10443720008051291,4/16/21,4/17/21 7:40,4918.836,4921.729,2.892,
'10443720008051291,4/17/21,4/18/21 17:04,4921.729,4923.916,2.186,
'10443720008051291,4/18/21,4/19/21 7:31,4923.916,4926.738,2.824,
'10443720008051291,4/19/21,4/20/21 7:20,4926.738,4929.366,2.627,
'10443720008051291,4/20/21,4/21/21 7:18,4929.366,4932.27,2.904,
'10443720008051291,4/21/21,4/22/21 7:18,4932.27,4934.998,2.728,
'10443720008051291,4/22/21,4/23/21 7:18,4934.998,4937.704,2.707,
'10443720008051291,4/23/21,4/24/21 7:15,4937.704,4940.025,2.318,
'10443720008051291,4/24/21,4/25/21 8:16,4940.025,4942.791,2.765,
'10443720008051291,4/25/21,4/26/21 7:18,4942.791,4945.684,2.896,
'10443720008051291,4/26/21,4/27/21 7:19,4945.684,4948.584,2.901,
'10443720008051291,4/27/21,4/28/21 7:21,4948.584,4951.176,2.596,
'10443720008051291,4/28/21,4/29/21 7:20,4951.176,4954.982,3.807,
'10443720008051291,4/29/21,4/30/21 7:17,4954.982,4958.725,3.745,
'10443720008051291,4/30/21,5/1/21 7:16,4958.725,4963.575,4.852,
'10443720008051291,5/1/21,5/2/21 8:18,4963.575,4974.807,11.231,
'10443720008051291,5/2/21,5/3/21 7:19,4974.807,4992.729,17.923,
'10443720008051291,5/3/21,5/4/21 7:23,4992.729,5019.819,27.093,
'10443720008051291,5/4/21,5/5/21 7:21,5019.819,5031.212,11.393,
'10443720008051291,5/5/21,5/6/21 7:22,5031.212,5044.492,13.281,
'10443720008051291,5/6/21,5/7/21 7:21,5044.492,5065.027,20.532,
'10443720008051291,5/7/21,5/8/21 7:19,5065.027,5087.335,22.305,
'10443720008051291,5/8/21,5/9/21 8:20,5087.335,5107.617,20.277,
'10443720008051291,5/9/21,5/10/21 7:22,5107.617,5154.412,46.797,
'10443720008051291,5/10/21,5/11/21 7:23,5154.412,5177.161,22.752,
'10443720008051291,5/11/21,5/12/21 7:23,5177.161,5200.347,23.182,
'10443720008051291,5/12/21,5/13/21 7:26,5200.347,5219.623,19.275,
'10443720008051291,5/13/21,5/14/21 7:25,5219.623,5249.769,30.147,
'10443720008051291,5/14/21,5/15/21 7:23,5249.769,5266.369,16.602,
'10443720008051291,5/15/21,5/16/21 11:41,5266.369,5306.23,39.866,
'10443720008051291,5/16/21,5/17/21 7:30,5306.23,5347.815,41.586,
'10443720008051291,5/17/21,5/18/21 7:35,5347.815,5366.817,19.003,
'10443720008051291,5/18/21,5/19/21 7:32,5366.817,5381.31,14.492,
'10443720008051291,5/19/21,5/20/21 7:24,5381.31,5400.188,18.879,
'10443720008051291,5/20/21,5/21/21 7:28,5400.188,5416.032,15.84,
'10443720008051291,5/21/21,5/22/21 7:19,5416.032,5432.5,16.468,
'10443720008051291,5/22/21,5/23/21 15:09,5432.5,5447.727,15.224,
'10443720008051291,5/23/21,5/24/21 7:24,5447.727,5461.704,13.974,
'10443720008051291,5/24/21,5/25/21 7:24,5461.704,5473.902,12.197,
'10443720008051291,5/25/21,5/26/21 7:16,5473.902,5491.398,17.494,
'10443720008051291,5/26/21,5/27/21 7:17,5491.398,5513.116,21.718,
'10443720008051291,5/27/21,5/28/21 7:20,5513.116,5535.027,21.914,
'10443720008051291,5/28/21,5/29/21 7:17,5535.027,5552.875,17.847,
'10443720008051291,5/29/21,5/30/21 8:23,5552.875,5573.541,20.664,
'10443720008051291,5/30/21,5/31/21 7:17,5573.541,5586.429,12.889,
'10443720008051291,5/31/21,6/1/21 7:28,5586.429,5603.368,16.938,
'10443720008051291,6/1/21,6/2/21 7:25,5603.368,5613.516,10.149,
'10443720008051291,6/2/21,6/3/21 7:40,5613.516,5624.803,11.284,
'10443720008051291,6/3/21,6/4/21 7:36,5624.803,5636.538,11.735,
'10443720008051291,6/4/21,6/5/21 7:29,5636.538,5647.815,11.278,
'10443720008051291,6/5/21,6/6/21 8:27,5647.815,5666.364,18.551,
'10443720008051291,6/6/21,6/7/21 7:29,5666.364,5681.055,14.689,
'10443720008051291,6/7/21,6/8/21 7:30,5681.055,5695.282,14.234,
'10443720008051291,6/8/21,6/9/21 7:38,5695.282,5710.657,15.379,
'10443720008051291,6/9/21,6/10/21 7:37,5710.657,5735.326,24.671,
'10443720008051291,6/10/21,6/11/21 9:03,5735.326,5754.91,19.582,
'10443720008051291,6/11/21,6/12/21 7:24,5754.91,5782.892,27.984,
'10443720008051291,6/12/21,6/13/21 8:57,5782.892,5804.295,21.403,
'10443720008051291,6/13/21,6/14/21 7:25,5804.295,5836.729,32.435,
'10443720008051291,6/14/21,6/15/21 7:31,5836.729,5870.622,33.891,
'10443720008051291,6/15/21,6/16/21 7:33,5870.622,5893.009,22.387,
'10443720008051291,6/16/21,6/17/21 7:37,5893.009,5922.915,29.904,
'10443720008051291,6/17/21,6/18/21 7:30,5922.915,5946.23,23.311,
'10443720008051291,6/18/21,6/19/21 7:29,5946.23,5974.153,27.921,
'10443720008051291,6/19/21,6/20/21 8:27,5974.153,5995.256,21.103,
'10443720008051291,6/20/21,6/21/21 7:20,5995.256,6026.361,31.104,
'10443720008051291,6/21/21,6/22/21 8:16,6026.361,6050.724,24.366,
'10443720008051291,6/22/21,6/23/21 7:30,6050.724,6066.912,16.186,
'10443720008051291,6/23/21,6/24/21 7:31,6066.912,6090.342,23.426,
'10443720008051291,6/24/21,6/25/21 7:28,6090.342,6120.77,30.424,
'10443720008051291,6/25/21,6/26/21 7:24,6120.77,6152.378,31.611,
'10443720008051291,6/26/21,6/27/21 8:26,6152.378,6180.874,28.491,
'10443720008051291,6/27/21,6/28/21 7:26,6180.874,6204.706,23.83,
'10443720008051291,6/28/21,6/29/21 7:28,6204.706,6221.986,17.276,
'10443720008051291,6/29/21,6/30/21 7:30,6221.986,6238.504,16.518,
'10443720008051291,6/30/21,7/1/21 7:31,6238.504,6254.588,16.08,
'10443720008051291,7/1/21,7/2/21 7:25,6254.588,6281.089,26.494,
'10443720008051291,7/2/21,7/3/21 7:23,6281.089,6288.141,7.051,
'10443720008051291,7/3/21,7/4/21 8:28,6288.141,6294.433,6.283,
'10443720008051291,7/4/21,7/5/21 7:23,6294.433,6319.731,25.295,
'10443720008051291,7/5/21,7/6/21 7:24,6319.731,6344.823,25.094,
'10443720008051291,7/6/21,7/7/21 7:24,6344.823,6365.749,20.922,
'10443720008051291,7/7/21,7/8/21 7:50,6365.749,6384.602,18.848,
'10443720008051291,7/8/21,7/9/21 7:30,6384.602,6400.572,15.963,
'10443720008051291,7/9/21,7/10/21 7:25,6400.572,6412.576,12.005,
'10443720008051291,7/10/21,7/11/21 9:49,6412.576,6424.352,11.772,
'10443720008051291,7/11/21,7/12/21 7:29,6424.352,6459.465,35.112,
'10443720008051291,7/12/21,7/13/21 8:08,6459.465,6487.142,27.678,
'10443720008051291,7/13/21,7/14/21 7:41,6487.142,6523.452,36.318,
'10443720008051291,7/14/21,7/15/21 8:36,6523.452,6539.36,15.911,
'10443720008051291,7/15/21,7/16/21 8:11,6539.36,6564.832,25.474,
'10443720008051291,7/16/21,7/17/21 7:27,6564.832,6591.913,27.081,
'10443720008051291,7/17/21,7/18/21 9:23,6591.913,6615.222,23.308,
'10443720008051291,7/18/21,7/19/21 7:35,6615.222,6645.405,30.18,
'10443720008051291,7/19/21,7/20/21 7:25,6645.405,6667.255,21.845,
'10443720008051291,7/20/21,7/21/21 7:33,6667.255,6684.704,17.45,
'10443720008051291,7/21/21,7/22/21 7:31,6684.704,6702.8,18.093,
'10443720008051291,7/22/21,7/23/21 7:35,6702.8,6721.461,18.661,
'10443720008051291,7/23/21,7/24/21 7:32,6721.461,6745.972,24.507,
'10443720008051291,7/24/21,7/25/21 9:00,6745.972,6771.735,25.765,
'10443720008051291,7/25/21,7/26/21 7:27,6771.735,6804.619,32.889,
'10443720008051291,7/26/21,7/27/21 7:37,6804.619,6840.979,36.356,
'10443720008051291,7/27/21,7/28/21 7:30,6840.979,6874.508,33.529,
'10443720008051291,7/28/21,7/29/21 7:24,6874.508,6895.819,21.309,
'10443720008051291,7/29/21,7/30/21 7:25,6895.819,6920.694,24.873,
'10443720008051291,7/30/21,7/31/21 7:27,6920.694,6946.636,25.942,
'10443720008051291,7/31/21,8/1/21 9:51,6946.636,6977.964,31.329,
'10443720008051291,8/1/21,8/2/21 7:46,6977.964,7007.727,29.761,
'10443720008051291,8/2/21,8/3/21 7:28,7007.727,7028.313,20.585,
'10443720008051291,8/3/21,8/4/21 7:32,7028.313,7042.952,14.642,
'10443720008051291,8/4/21,8/5/21 7:34,7042.952,7061.788,18.836,
'10443720008051291,8/5/21,8/6/21 7:56,7061.788,7078.353,16.566,
'10443720008051291,8/6/21,8/7/21 7:31,7078.353,7103.208,24.853,
'10443720008051291,8/7/21,8/8/21 8:38,7103.208,7110.313,7.105,
'10443720008051291,8/8/21,8/9/21 7:32,7110.313,7131.302,20.988,
'10443720008051291,8/9/21,8/10/21 7:37,7131.302,7164.14,32.837,
'10443720008051291,8/10/21,8/11/21 7:44,7164.14,7184.193,20.052,
'10443720008051291,8/11/21,8/12/21 7:35,7184.193,7207.88,23.686,
'10443720008051291,8/12/21,8/13/21 7:43,7207.88,7232.344,24.458,
'10443720008051291,8/13/21,8/14/21 7:29,7232.344,7255.912,23.565,
'10443720008051291,8/14/21,8/15/21 8:34,7255.912,7279.491,23.58,
'10443720008051291,8/15/21,8/16/21 7:36,7279.491,7304.284,24.794,
'10443720008051291,8/16/21,8/17/21 8:11,7304.284,7317.063,12.782,
'10443720008051291,8/17/21,8/18/21 7:40,7317.063,7337.034,19.971,
'10443720008051291,8/18/21,8/19/21 7:46,7337.034,7351.558,14.524,
'10443720008051291,8/19/21,8/20/21 7:37,7351.558,7367.468,15.908,
'10443720008051291,8/20/21,8/21/21 7:42,7367.468,7397.702,30.236,
'10443720008051291,8/21/21,8/22/21 17:25,7397.702,7425.661,27.96,
'10443720008051291,8/22/21,8/23/21 8:07,7425.661,7456.46,30.802,
'10443720008051291,8/23/21,8/24/21 7:39,7456.46,7484.37,27.91,
'10443720008051291,8/24/21,8/25/21 8:08,7484.37,7510.208,25.842,
'10443720008051291,8/25/21,8/26/21 7:35,7510.208,7533.736,23.528,
'10443720008051291,8/26/21,8/27/21 7:47,7533.736,7557.139,23.405,
'10443720008051291,8/27/21,8/28/21 7:19,7557.139,7586.778,29.632,
'10443720008051291,8/28/21,8/29/21 8:19,7586.778,7613.139,26.358,
'10443720008051291,8/29/21,8/30/21 7:15,7613.139,7641.703,28.56,
'10443720008051291,8/30/21,8/31/21 7:22,7641.703,7667.286,25.582,
'10443720008051291,8/31/21,9/1/21 7:21,7667.286,7688.452,21.166,
'10443720008051291,9/1/21,9/2/21 7:27,7688.452,7714.255,25.803,
'10443720008051291,9/2/21,9/3/21 7:52,7714.255,7740.799,26.543,
'10443720008051291,9/3/21,9/4/21 10:11,7740.799,7768.852,28.055,
'10443720008051291,9/4/21,9/5/21 8:22,7768.852,7797.64,28.781,
'10443720008051291,9/5/21,9/6/21 7:32,7797.64,7824.53,26.892,
'10443720008051291,9/6/21,9/7/21 8:11,7824.53,7848.172,23.641,
'10443720008051291,9/7/21,9/8/21 7:35,7848.172,7865.778,17.607,
'10443720008051291,9/8/21,9/9/21 7:46,7865.778,7880.289,14.509,
'10443720008051291,9/9/21,9/10/21 7:42,7880.289,7895.222,14.933,
'10443720008051291,9/10/21,9/11/21 7:39,7895.222,7916.848,21.629,
'10443720008051291,9/11/21,9/12/21 8:44,7916.848,7934.644,17.793,
'10443720008051291,9/12/21,9/13/21 7:38,7934.644,7948.653,14.013,
'10443720008051291,9/13/21,9/14/21 7:44,7948.653,7964.32,15.669,
'10443720008051291,9/14/21,9/15/21 7:48,7964.32,7981.861,17.541,
'10443720008051291,9/15/21,9/16/21 7:45,7981.861,7994.103,12.24,
'10443720008051291,9/16/21,9/17/21 7:32,7994.103,8019.29,25.189,
'10443720008051291,9/17/21,9/18/21 7:50,8019.29,8030.617,11.327,
'10443720008051291,9/18/21,9/19/21 11:18,8030.617,8036.799,6.175,
'10443720008051291,9/19/21,9/20/21 7:37,8036.799,8043.942,7.137,
'10443720008051291,9/20/21,9/21/21 7:46,8043.942,8051.979,8.028,
'10443720008051291,9/21/21,9/22/21 7:39,8051.979,8057.887,5.901,
'10443720008051291,9/22/21,9/23/21 7:40,8057.887,8080.17,22.279,
'10443720008051291,9/23/21,9/24/21 7:39,8080.17,8091.422,11.255,
'10443720008051291,9/24/21,9/25/21 7:29,8091.422,8101.234,9.804,
'10443720008051291,9/25/21,9/26/21 8:39,8101.234,8123.575,22.345,
'10443720008051291,9/26/21,9/27/21 7:49,8123.575,8140.069,16.499,
'10443720008051291,9/27/21,9/28/21 8:38,8140.069,8155.536,15.466,
'10443720008051291,9/28/21,9/29/21 7:34,8155.536,8176.704,21.163,
'10443720008051291,9/29/21,9/30/21 7:37,8176.704,8193.133,16.43,
'10443720008051291,9/30/21,10/1/21 8:04,8193.133,8206.05,12.913,
'10443720008051291,10/1/21,10/2/21 7:37,8206.05,8218.875,12.822,
'10443720008051291,10/2/21,10/3/21 8:45,8218.875,8237.599,18.727,
'10443720008051291,10/3/21,10/4/21 7:36,8237.599,8253.944,16.341,
'10443720008051291,10/4/21,10/5/21 7:37,8253.944,8267.419,13.47,
'10443720008051291,10/5/21,10/6/21 7:44,8267.419,8277.121,9.706,
'10443720008051291,10/6/21,10/7/21 7:41,8277.121,8285.893,8.783,
'10443720008051291,10/7/21,10/8/21 7:54,8285.893,8298.685,12.792,
'10443720008051291,10/8/21,10/9/21 7:31,8298.685,8314.206,15.519,
'10443720008051291,10/9/21,10/10/21 8:46,8314.206,8327.52,13.313,
'10443720008051291,10/10/21,10/11/21 7:39,8327.52,8340.897,13.375,
'10443720008051291,10/11/21,10/12/21 7:50,8340.897,8352.98,12.083,
'10443720008051291,10/12/21,10/13/21 7:39,8352.98,8365.843,12.867,
'10443720008051291,10/13/21,10/14/21 8:07,8365.843,8376.962,11.123,
'10443720008051291,10/14/21,10/15/21 7:56,8376.962,8387.379,10.415,
'10443720008051291,10/15/21,10/16/21 7:57,8387.379,8403.662,16.279,
'10443720008051291,10/16/21,10/17/21 8:53,8403.662,8413.194,9.531,
'10443720008051291,10/17/21,10/18/21 7:39,8413.194,8419.928,6.739,
'10443720008051291,10/18/21,10/19/21 7:43,8419.928,8428.38,8.454,
'10443720008051291,10/19/21,10/20/21 7:43,8428.38,8440.404,12.024,
'10443720008051291,10/20/21,10/21/21 7:36,8440.404,8455.916,15.509,
'10443720008051291,10/21/21,10/22/21 7:32,8455.916,8469.178,13.262,
'10443720008051291,10/22/21,10/23/21 7:24,8469.178,8481.751,12.573,
'10443720008051291,10/23/21,10/24/21 8:50,8481.751,8490.684,8.935,
'10443720008051291,10/24/21,10/25/21 7:45,8490.684,8514.435,23.755,
'10443720008051291,10/25/21,10/26/21 7:58,8514.435,8531.577,17.143,
'10443720008051291,10/26/21,10/27/21 7:36,8531.577,8546.18,14.603,
'10443720008051291,10/27/21,10/28/21 7:29,8546.18,8553.295,7.113,
'10443720008051291,10/28/21,10/29/21 7:28,8553.295,8566.526,13.225,
'10443720008051291,10/29/21,10/30/21 7:31,8566.526,8574.71,8.189,
'10443720008051291,10/30/21,10/31/21 8:39,8574.71,8589.081,14.363,
'10443720008051291,10/31/21,11/1/21 7:31,8589.081,8609.553,20.474,
'10443720008051291,11/1/21,11/2/21 7:33,8609.553,8618.557,9.009,
'10443720008051291,11/2/21,11/3/21 7:31,8618.557,8632.114,13.558,
'10443720008051291,11/3/21,11/4/21 7:46,8632.114,8646.932,14.824,
'10443720008051291,11/4/21,11/5/21 7:31,8646.932,8681.145,34.21,
'10443720008051291,11/5/21,11/6/21 7:25,8681.145,8710.935,29.787,
'10443720008051291,11/6/21,11/7/21 13:02,8710.935,8720.313,9.371,
'10443720008051291,11/7/21,11/8/21 10:46,8720.313,8737.698,17.384,
'10443720008051291,11/8/21,11/9/21 8:58,8737.698,8758.222,20.525,
'10443720008051291,11/9/21,11/10/21 7:32,8758.222,8771.887,13.663,
'10443720008051291,11/10/21,11/11/21 7:31,8771.887,8781.218,9.325,
'10443720008051291,11/11/21,11/12/21 7:49,8781.218,8791.593,10.373,
'10443720008051291,11/12/21,11/13/21 7:27,8791.593,8807.902,16.306,
'10443720008051291,11/13/21,11/14/21 14:13,8807.902,8835.012,27.1,
'10443720008051291,11/14/21,11/15/21 6:37,8835.012,8853.477,18.463,
'10443720008051291,11/15/21,11/16/21 6:42,8853.477,8873.77,20.294,
'10443720008051291,11/16/21,11/17/21 7:12,8873.77,8880.716,6.94,
'10443720008051291,11/17/21,11/18/21 6:40,8880.716,8895.938,15.217,
'10443720008051291,11/18/21,11/19/21 6:39,8895.938,8908.238,12.296,
'10443720008051291,11/19/21,11/21/21 16:45,8908.238,8923.322,15.088,
'10443720008051291,11/20/21,11/21/21 16:42,8923.322,8926.874,3.547,
'10443720008051291,11/21/21,11/22/21 6:36,8926.874,8930.679,3.807,
'10443720008051291,11/22/21,11/23/21 6:37,8930.679,8934.741,4.062,
'10443720008051291,11/23/21,11/24/21 6:44,8934.741,8938.435,3.695,
'10443720008051291,11/24/21,11/25/21 6:44,8938.435,8942.473,4.037,
'10443720008051291,11/25/21,11/27/21 6:34,8942.473,8946.21,3.738,
'10443720008051291,11/26/21,11/27/21 6:33,8946.21,8950.086,3.881,
'10443720008051291,11/27/21,11/28/21 7:25,8950.086,8953.618,3.533,
'10443720008051291,11/28/21,11/29/21 6:40,8953.618,8957.488,3.873,
'10443720008051291,11/29/21,11/30/21 6:38,8957.488,8961.498,4.012,
'10443720008051291,11/30/21,12/1/21 6:40,8961.498,9002.995,41.504,
'10443720008051291,12/1/21,12/2/21 6:42,9002.995,9020.538,17.542,
'10443720008051291,12/2/21,12/3/21 6:39,9020.538,9040.466,19.931,
'10443720008051291,12/3/21,12/4/21 6:37,9040.466,9051.062,10.601,
'10443720008051291,12/4/21,12/5/21 9:04,9051.062,9066.294,15.229,
'10443720008051291,12/5/21,12/6/21 6:38,9066.294,9077.515,11.222,
'10443720008051291,12/6/21,12/7/21 6:41,9077.515,9094.974,17.459,
'10443720008051291,12/7/21,12/8/21 6:40,9094.974,9133.077,38.102,
'10443720008051291,12/8/21,12/9/21 6:41,9133.077,9160.236,27.156,
'10443720008051291,12/9/21,12/10/21 6:39,9160.236,9184.118,23.882,
'10443720008051291,12/10/21,12/11/21 6:38,9184.118,9195.96,11.839,
'10443720008051291,12/11/21,12/12/21 10:31,9195.96,9230.845,34.886,
'10443720008051291,12/12/21,12/13/21 6:38,9230.845,9276.46,45.616,
'10443720008051291,12/13/21,12/14/21 7:25,9276.46,9309.13,32.67,
'10443720008051291,12/14/21,12/15/21 7:05,9309.13,9324.561,15.433,
'10443720008051291,12/15/21,12/16/21 6:38,9324.561,9335.8,11.242,
'10443720008051291,12/16/21,12/17/21 7:13,9335.8,9345.144,9.343,
'10443720008051291,12/17/21,12/18/21 6:37,9345.144,9348.607,3.466,
'10443720008051291,12/18/21,12/19/21 7:27,9348.607,9352.254,3.646,
'10443720008051291,12/19/21,12/20/21 6:37,9352.254,9355.803,3.555,
'10443720008051291,12/20/21,12/21/21 6:37,9355.803,9359.478,3.676,
'10443720008051291,12/21/21,12/22/21 6:38,9359.478,9362.557,3.08,
'10443720008051291,12/22/21,12/23/21 6:38,9362.557,9366.3,3.746,
'10443720008051291,12/23/21,12/24/21 6:36,9366.3,9369.927,3.626,
'10443720008051291,12/24/21,12/25/21 6:35,9369.927,9373.557,3.635,
'10443720008051291,12/25/21,12/26/21 7:21,9373.557,9377.086,3.527,
'10443720008051291,12/26/21,12/27/21 6:46,9377.086,9380.742,3.656,
'10443720008051291,12/27/21,12/28/21 6:40,9380.742,9384.436,3.694,
'10443720008051291,12/28/21,12/29/21 6:40,9384.436,9387.991,3.556,
'10443720008051291,12/29/21,12/30/21 6:39,9387.991,9392.167,4.18,
'10443720008051291,12/30/21,12/31/21 6:38,9392.167,9395.832,3.664,
'10443720008051291,12/31/21,1/1/22 6:36,9395.832,9399.212,3.385,
'10443720008051291,1/1/22,1/2/22 7:26,9399.212,9402.814,3.606,
'10443720008051291,1/2/22,1/3/22 6:36,9402.814,9428.012,25.201,
'10443720008051291,1/3/22,1/4/22 6:41,9428.012,9446.937,18.918,
'10443720008051291,1/4/22,1/5/22 6:39,9446.937,9457.036,10.091,
'10443720008051291,1/5/22,1/6/22 6:53,9457.036,9461.307,4.277,
'10443720008051291,1/6/22,1/7/22 6:40,9461.307,9465.007,3.703,
'10443720008051291,1/7/22,1/8/22 6:36,9465.007,9482.067,17.051,
'10443720008051291,1/8/22,1/9/22 7:23,9482.067,9487.4,5.343,
'10443720008051291,1/9/22,1/10/22 6:34,9487.4,9490.758,3.357,
'10443720008051291,1/10/22,1/11/22 6:39,9490.758,9552.978,62.222,
'10443720008051291,1/11/22,1/12/22 6:44,9552.978,9608.112,55.137,
'10443720008051291,1/12/22,1/13/22 6:50,9608.112,9648.668,40.557,
'10443720008051291,1/13/22,1/14/22 6:59,9648.668,9668.14,19.466,
'10443720008051291,1/14/22,1/15/22 6:37,9668.14,9697.9,29.761,
'10443720008051291,1/15/22,1/16/22 7:31,9697.9,9758.792,60.887,
'10443720008051291,1/16/22,1/17/22 6:36,9758.792,9858.573,99.777,
'10443720008051291,1/17/22,1/18/22 6:41,9858.573,9898.164,39.59,
'10443720008051291,1/18/22,1/19/22 7:09,9898.164,9930.638,32.479,
